player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
"Rudy Gobert","MIN","2024-25","32","MIN","NBA","C","72","72","33.2","4.7","7.1",".669","0.0","0.0","","4.7",".669",".669","2.6","3.8",".674","3.7","7.2","10.9","1.8","0.8","1.4","1.2","2.5","12.0",""
"Rudy Gobert","MIN","2023-24","31","MIN","NBA","C","76","76","34.1","5.3","8.1",".661","0.0","0.0",".000","5.3",".664",".661","3.3","5.1",".638","3.8","9.2","12.9","1.3","0.7","2.1","1.6","3.1","14.0",""
"Rudy Gobert","MIN","2022-23","30","MIN","NBA","C","70","70","30.7","5.1","7.8",".659","0.0","0.0",".000","5.1",".663",".659","3.1","4.9",".644","3.3","8.3","11.6","1.2","0.8","1.4","1.7","3.0","13.4",""
"Bones Hyland","2TM","2024-25","24","2TM","NBA","PG","24","0","10.0","2.0","4.9",".398","1.3","3.4",".390","0.6",".417",".534","1.0","1.1",".885","0.2","0.8","1.0","1.3","0.8","0.2","1.0","1.2","6.2",""
"Bones Hyland","2TM","2023-24","23","LAC","NBA","PG","37","5","14.6","2.6","6.8",".386","1.2","3.6",".326","1.4",".457",".474","0.5","0.6",".783","0.1","1.4","1.5","2.5","0.7","0.1","1.2","1.4","6.9",""
"Bones Hyland","2TM","2022-23","22","2TM","NBA","PG","56","1","19.4","4.1","10.2",".399","2.1","5.6",".371","2.0",".434",".502","1.5","1.8",".843","0.4","2.1","2.4","3.1","0.7","0.3","1.5","1.7","11.8",""
"Joe Ingles","MIN","2024-25","37","MIN","NBA","SF","19","1","6.0","0.3","1.2",".261","0.2","0.8",".200","0.2",".375",".326","0.0","0.0","","0.1","0.5","0.6","1.2","0.1","0.0","0.5","0.6","0.8",""
"Joe Ingles","MIN","2023-24","36","ORL","NBA","SF","68","0","17.2","1.5","3.3",".436","1.0","2.4",".435","0.4",".439",".590","0.4","0.5",".824","0.3","1.8","2.1","3.0","0.6","0.1","1.0","1.3","4.4",""
"Joe Ingles","MIN","2022-23","35","MIL","NBA","SF","46","0","22.7","2.3","5.4",".435","1.8","4.4",".409","0.5",".556",".603","0.4","0.5",".857","0.3","2.5","2.8","3.3","0.7","0.1","1.2","1.6","6.9",""
"Jaden McDaniels","MIN","2024-25","24","MIN","NBA","PF","82","82","31.9","4.9","10.2",".477","1.2","3.7",".330","3.6",".561",".537","1.3","1.6",".813","1.6","4.2","5.7","2.0","1.3","0.9","1.2","2.7","12.2",""
"Jaden McDaniels","MIN","2023-24","23","MIN","NBA","SF","72","71","29.2","4.3","8.7",".489","1.2","3.5",".337","3.1",".592",".557","0.8","1.1",".722","0.8","2.3","3.1","1.4","0.9","0.6","1.2","3.0","10.5",""
