Year,Year ending,Local Government Area,Age Group,OTH Counter
2024,June,Boroondara,25 - 34 years,210
2024,June,Boroondara,35 - 44 years,274
2024,June,Boroondara,45 - 54 years,229
2024,June,Boroondara,55+ years,134
2024,June,Brimbank,00 - 17 years,128
2024,June,Brimbank,18 - 24 years,311
2024,June,Brimbank,25 - 34 years,780
2024,June,Brimbank,35 - 44 years,881
2024,June,Brimbank,45 - 54 years,552
2024,June,Brimbank,55+ years,306
2024,June,Buloke,00 - 17 years,2
2024,June,Buloke,18 - 24 years,5
2024,June,Buloke,25 - 34 years,17
2024,June,Buloke,35 - 44 years,16
2024,June,Buloke,45 - 54 years,15
2024,June,Buloke,55+ years,4
2024,June,Campaspe,00 - 17 years,67
2024,June,Campaspe,18 - 24 years,129
2024,June,Campaspe,25 - 34 years,258
2024,June,Campaspe,35 - 44 years,191
2024,June,Campaspe,45 - 54 years,113
2024,June,Campaspe,55+ years,62
2024,June,Cardinia,00 - 17 years,160
2024,June,Cardinia,18 - 24 years,182
2024,June,Cardinia,25 - 34 years,454
2024,June,Cardinia,35 - 44 years,506
2024,June,Cardinia,45 - 54 years,247
2024,June,Cardinia,55+ years,126
2024,June,Casey,00 - 17 years,437
2024,June,Casey,18 - 24 years,662
2024,June,Casey,25 - 34 years,1614
2024,June,Casey,35 - 44 years,1685
2024,June,Casey,45 - 54 years,819
2024,June,Casey,55+ years,449
2024,June,Central Goldfields,00 - 17 years,32
2024,June,Central Goldfields,18 - 24 years,26
2024,June,Central Goldfields,25 - 34 years,98
2024,June,Central Goldfields,35 - 44 years,92
2024,June,Central Goldfields,45 - 54 years,77
2024,June,Central Goldfields,55+ years,30
2024,June,Colac-Otway,00 - 17 years,32
2024,June,Colac-Otway,18 - 24 years,61
2024,June,Colac-Otway,25 - 34 years,78
2024,June,Colac-Otway,35 - 44 years,142
2024,June,Colac-Otway,45 - 54 years,92
2024,June,Colac-Otway,55+ years,44
2024,June,Corangamite,00 - 17 years,11
2024,June,Corangamite,18 - 24 years,18
2024,June,Corangamite,25 - 34 years,69
2024,June,Corangamite,35 - 44 years,55
2024,June,Corangamite,45 - 54 years,34
2024,June,Corangamite,55+ years,26
2024,June,Darebin,00 - 17 years,93
2024,June,Darebin,18 - 24 years,186
2024,June,Darebin,25 - 34 years,450
2024,June,Darebin,35 - 44 years,478
2024,June,Darebin,45 - 54 years,322
2024,June,Darebin,55+ years,198
2024,June,East Gippsland,00 - 17 years,178
2024,June,East Gippsland,18 - 24 years,284
2024,June,East Gippsland,25 - 34 years,457
2024,June,East Gippsland,35 - 44 years,465
2024,June,East Gippsland,45 - 54 years,344
2024,June,East Gippsland,55+ years,270
2024,June,Frankston,00 - 17 years,285
2024,June,Frankston,18 - 24 years,350
2024,June,Frankston,25 - 34 years,732
2024,June,Frankston,35 - 44 years,857
2024,June,Frankston,45 - 54 years,551
2024,June,Frankston,55+ years,250
2024,June,Gannawarra,00 - 17 years,17
2024,June,Gannawarra,18 - 24 years,32
2024,June,Gannawarra,25 - 34 years,67
2024,June,Gannawarra,35 - 44 years,45
2024,June,Gannawarra,45 - 54 years,28
2024,June,Gannawarra,55+ years,23
2024,June,Glen Eira,00 - 17 years,83
2024,June,Glen Eira,18 - 24 years,79
2024,June,Glen Eira,25 - 34 years,210
2024,June,Glen Eira,35 - 44 years,347
2024,June,Glen Eira,45 - 54 years,241
2024,June,Glen Eira,55+ years,111
2024,June,Glenelg,00 - 17 years,50
2024,June,Glenelg,18 - 24 years,80
2024,June,Glenelg,25 - 34 years,150
2024,June,Glenelg,35 - 44 years,96
2024,June,Glenelg,45 - 54 years,61
2024,June,Glenelg,55+ years,45
2024,June,Golden Plains,00 - 17 years,25
2024,June,Golden Plains,18 - 24 years,21
2024,June,Golden Plains,25 - 34 years,32
2024,June,Golden Plains,35 - 44 years,57
2024,June,Golden Plains,45 - 54 years,56
2024,June,Golden Plains,55+ years,34
2024,June,Greater Bendigo,00 - 17 years,249
2024,June,Greater Bendigo,18 - 24 years,328
2024,June,Greater Bendigo,25 - 34 years,691
2024,June,Greater Bendigo,35 - 44 years,657
2024,June,Greater Bendigo,45 - 54 years,457
2024,June,Greater Bendigo,55+ years,182
2024,June,Greater Dandenong,00 - 17 years,114
2024,June,Greater Dandenong,18 - 24 years,264
2024,June,Greater Dandenong,25 - 34 years,754
2024,June,Greater Dandenong,35 - 44 years,768
2024,June,Greater Dandenong,45 - 54 years,477
2024,June,Greater Dandenong,55+ years,238
2024,June,Greater Geelong,00 - 17 years,612
2024,June,Greater Geelong,18 - 24 years,706
2024,June,Greater Geelong,25 - 34 years,1275
2024,June,Greater Geelong,35 - 44 years,1349
2024,June,Greater Geelong,45 - 54 years,679
2024,June,Greater Geelong,55+ years,404
2024,June,Greater Shepparton,00 - 17 years,143
2024,June,Greater Shepparton,18 - 24 years,309
2024,June,Greater Shepparton,25 - 34 years,611
2024,June,Greater Shepparton,35 - 44 years,512
2024,June,Greater Shepparton,45 - 54 years,309
2024,June,Greater Shepparton,55+ years,167
2024,June,Hepburn,00 - 17 years,17
2024,June,Hepburn,18 - 24 years,18
2024,June,Hepburn,25 - 34 years,34
2024,June,Hepburn,35 - 44 years,48
2024,June,Hepburn,45 - 54 years,51
2024,June,Hepburn,55+ years,34
2024,June,Hindmarsh,00 - 17 years,7
2024,June,Hindmarsh,18 - 24 years,9
2024,June,Hindmarsh,25 - 34 years,23
