Year,Year ending,Local Government Area,OTH Sex,OTH Counter
2022,June,Latrobe,Males,1847
2022,June,Loddon,Females,33
2022,June,Loddon,Males,83
2022,June,Macedon Ranges,Females,109
2022,June,Macedon Ranges,Males,356
2022,June,Manningham,Females,242
2022,June,Manningham,Males,707
2022,June,Mansfield,Females,19
2022,June,Mansfield,Males,103
2022,June,Maribyrnong,Females,268
2022,June,Maribyrnong,Males,748
2022,June,Maroondah,Females,353
2022,June,Maroondah,Males,1031
2022,June,Melbourne,Females,564
2022,June,Melbourne,Males,1598
2022,June,Melton,Females,696
2022,June,Melton,Males,2177
2022,June,Merri-bek,Females,517
2022,June,Merri-bek,Males,1474
2022,June,Mildura,Females,591
2022,June,Mildura,Males,1399
2022,June,Mitchell,Females,213
2022,June,Mitchell,Males,770
2022,June,Moira,Females,105
2022,June,Moira,Males,375
2022,June,Monash,Females,514
2022,June,Monash,Males,1433
2022,June,Moonee Valley,Females,284
2022,June,Moonee Valley,Males,913
2022,June,Moorabool,Females,97
2022,June,Moorabool,Males,391
2022,June,Mornington Peninsula,Females,523
2022,June,Mornington Peninsula,Males,1516
2022,June,Mount Alexander,Females,46
2022,June,Mount Alexander,Males,139
2022,June,Moyne,Females,37
2022,June,Moyne,Males,137
2022,June,Murrindindi,Females,55
2022,June,Murrindindi,Males,162
2022,June,Nillumbik,Females,107
2022,June,Nillumbik,Males,347
2022,June,Northern Grampians,Females,66
2022,June,Northern Grampians,Males,206
2022,June,Port Phillip,Females,338
2022,June,Port Phillip,Males,1056
2022,June,Pyrenees,Females,17
2022,June,Pyrenees,Males,70
2022,June,Queenscliffe,Females,6
2022,June,Queenscliffe,Males,8
2022,June,South Gippsland,Females,120
2022,June,South Gippsland,Males,419
2022,June,Southern Grampians,Females,61
2022,June,Southern Grampians,Males,179
2022,June,Stonnington,Females,212
2022,June,Stonnington,Males,680
2022,June,Strathbogie,Females,49
2022,June,Strathbogie,Males,116
2022,June,Surf Coast,Females,100
2022,June,Surf Coast,Males,204
2022,June,Swan Hill,Females,171
2022,June,Swan Hill,Males,432
2022,June,Towong,Females,7
2022,June,Towong,Males,25
2022,June,Wangaratta,Females,175
2022,June,Wangaratta,Males,443
2022,June,Warrnambool,Females,159
