Year,Year ending,Local Government Area,AFM Sex,AFM Counter
2022,June,Macedon Ranges,Males,124
2022,June,Manningham,Females,663
2022,June,Manningham,Males,286
2022,June,Mansfield,Females,89
2022,June,Mansfield,Males,32
2022,June,Maribyrnong,Females,772
2022,June,Maribyrnong,Males,250
2022,June,Maroondah,Females,1035
2022,June,Maroondah,Males,351
2022,June,Melbourne,Females,1583
2022,June,Melbourne,Males,580
2022,June,Melton,Females,2202
2022,June,Melton,Males,671
2022,June,Merri-bek,Females,1492
2022,June,Merri-bek,Males,501
2022,June,Mildura,Females,1552
2022,June,Mildura,Males,438
2022,June,Mitchell,Females,723
2022,June,Mitchell,Males,261
2022,June,Moira,Females,363
2022,June,Moira,Males,117
2022,June,Monash,Females,1409
2022,June,Monash,Males,536
2022,June,Moonee Valley,Females,877
2022,June,Moonee Valley,Males,326
2022,June,Moorabool,Females,379
2022,June,Moorabool,Males,109
2022,June,Mornington Peninsula,Females,1506
2022,June,Mornington Peninsula,Males,534
2022,June,Mount Alexander,Females,147
2022,June,Mount Alexander,Males,37
2022,June,Moyne,Females,125
2022,June,Moyne,Males,48
2022,June,Murrindindi,Females,157
2022,June,Murrindindi,Males,60
2022,June,Nillumbik,Females,339
2022,June,Nillumbik,Males,114
2022,June,Northern Grampians,Females,209
2022,June,Northern Grampians,Males,64
2022,June,Port Phillip,Females,998
2022,June,Port Phillip,Males,403
2022,June,Pyrenees,Females,62
2022,June,Pyrenees,Males,25
2022,June,Queenscliffe,Females,8
2022,June,Queenscliffe,Males,6
2022,June,South Gippsland,Females,409
2022,June,South Gippsland,Males,130
2022,June,Southern Grampians,Females,178
2022,June,Southern Grampians,Males,62
2022,June,Stonnington,Females,647
2022,June,Stonnington,Males,245
2022,June,Strathbogie,Females,123
2022,June,Strathbogie,Males,41
2022,June,Surf Coast,Females,204
2022,June,Surf Coast,Males,100
2022,June,Swan Hill,Females,443
2022,June,Swan Hill,Males,161
2022,June,Towong,Females,27
2022,June,Towong,Males,5
2022,June,Wangaratta,Females,439
2022,June,Wangaratta,Males,178
2022,June,Warrnambool,Females,508
2022,June,Warrnambool,Males,142
2022,June,Wellington,Females,919
2022,June,Wellington,Males,298
2022,June,West Wimmera,Females,36
2022,June,West Wimmera,Males,10
2022,June,Whitehorse,Females,1010
2022,June,Whitehorse,Males,364
2022,June,Whittlesea,Females,2258
2022,June,Whittlesea,Males,688
2022,June,Wodonga,Females,709
2022,June,Wodonga,Males,209
2022,June,Wyndham,Females,3181
2022,June,Wyndham,Males,850
2022,June,Yarra,Females,781
2022,June,Yarra,Males,346
2022,June,Yarra Ranges,Females,1400
2022,June,Yarra Ranges,Males,560
2022,June,Yarriambiack,Females,68
2022,June,Yarriambiack,Males,29
2021,June,Alpine,Females,113
2021,June,Alpine,Males,41
2021,June,Ararat,Females,256
2021,June,Ararat,Males,77
2021,June,Ballarat,Females,1798
2021,June,Ballarat,Males,568
2021,June,Banyule,Females,993
2021,June,Banyule,Males,366
2021,June,Bass Coast,Females,726
2021,June,Bass Coast,Males,239
2021,June,Baw Baw,Females,766
2021,June,Baw Baw,Males,260
2021,June,Bayside,Females,584
2021,June,Bayside,Males,166
2021,June,Benalla,Females,276
2021,June,Benalla,Males,110
2021,June,Boroondara,Females,679
2021,June,Boroondara,Males,310
2021,June,Brimbank,Females,2294
2021,June,Brimbank,Males,693
2021,June,Buloke,Females,60
2021,June,Buloke,Males,12
2021,June,Campaspe,Females,617
2021,June,Campaspe,Males,164
2021,June,Cardinia,Females,1178
2021,June,Cardinia,Males,371
2021,June,Casey,Females,4012
2021,June,Casey,Males,1469
2021,June,Central Goldfields,Females,229
2021,June,Central Goldfields,Males,91
2021,June,Colac-Otway,Females,318
2021,June,Colac-Otway,Males,100
2021,June,Corangamite,Females,111
2021,June,Corangamite,Males,36
2021,June,Darebin,Females,1421
2021,June,Darebin,Males,449
2021,June,East Gippsland,Females,1173
2021,June,East Gippsland,Males,392
2021,June,Frankston,Females,2036
2021,June,Frankston,Males,685
2021,June,Gannawarra,Females,147
2021,June,Gannawarra,Males,42
2021,June,Glen Eira,Females,771
2021,June,Glen Eira,Males,316
2021,June,Glenelg,Females,294
2021,June,Glenelg,Males,134
2021,June,Golden Plains,Females,138
2021,June,Golden Plains,Males,49
2021,June,Greater Bendigo,Females,1932
2021,June,Greater Bendigo,Males,591
2021,June,Greater Dandenong,Females,2073
2021,June,Greater Dandenong,Males,718
2021,June,Greater Geelong,Females,3250
2021,June,Greater Geelong,Males,1066
2021,June,Greater Shepparton,Females,1290
2021,June,Greater Shepparton,Males,333
2021,June,Hepburn,Females,129
2021,June,Hepburn,Males,39
2021,June,Hindmarsh,Females,85
2021,June,Hindmarsh,Males,25
2021,June,Hobsons Bay,Females,817
2021,June,Hobsons Bay,Males,269
2021,June,Horsham,Females,410
2021,June,Horsham,Males,132
2021,June,Hume,Females,3133
2021,June,Hume,Males,1045
2021,June,Indigo,Females,118
2021,June,Indigo,Males,39
2021,June,Kingston,Females,1259
2021,June,Kingston,Males,433
2021,June,Knox,Females,1429
2021,June,Knox,Males,517
2021,June,Latrobe,Females,1865
2021,June,Latrobe,Males,657
2021,June,Loddon,Females,102
2021,June,Loddon,Males,32
2021,June,Macedon Ranges,Females,341
2021,June,Macedon Ranges,Males,103
2021,June,Manningham,Females,661
2021,June,Manningham,Males,251
2021,June,Mansfield,Females,90
2021,June,Mansfield,Males,30
2021,June,Maribyrnong,Females,736
2021,June,Maribyrnong,Males,231
2021,June,Maroondah,Females,1027
2021,June,Maroondah,Males,379
2021,June,Melbourne,Females,1653
2021,June,Melbourne,Males,485
2021,June,Melton,Females,2354
2021,June,Melton,Males,732
2021,June,Merri-bek,Females,1410
2021,June,Merri-bek,Males,528
2021,June,Mildura,Females,1220
2021,June,Mildura,Males,412
2021,June,Mitchell,Females,931
2021,June,Mitchell,Males,292
2021,June,Moira,Females,383
2021,June,Moira,Males,112
2021,June,Monash,Females,1322
2021,June,Monash,Males,483
2021,June,Moonee Valley,Females,912
2021,June,Moonee Valley,Males,322
2021,June,Moorabool,Females,373
2021,June,Moorabool,Males,136
2021,June,Mornington Peninsula,Females,1661
2021,June,Mornington Peninsula,Males,497
2021,June,Mount Alexander,Females,143
2021,June,Mount Alexander,Males,57
2021,June,Moyne,Females,130
2021,June,Moyne,Males,61
2021,June,Murrindindi,Females,157
2021,June,Murrindindi,Males,51
2021,June,Nillumbik,Females,365
2021,June,Nillumbik,Males,141
2021,June,Northern Grampians,Females,236
2021,June,Northern Grampians,Males,61
2021,June,Port Phillip,Females,1035
2021,June,Port Phillip,Males,357
2021,June,Pyrenees,Females,79
2021,June,Pyrenees,Males,33
2021,June,Queenscliffe,Females,7
2021,June,Queenscliffe,Males,8
2021,June,South Gippsland,Females,401
2021,June,South Gippsland,Males,131
2021,June,Southern Grampians,Females,215
2021,June,Southern Grampians,Males,91
2021,June,Stonnington,Females,734
2021,June,Stonnington,Males,276
2021,June,Strathbogie,Females,139
2021,June,Strathbogie,Males,44
2021,June,Surf Coast,Females,201
2021,June,Surf Coast,Males,92
2021,June,Swan Hill,Females,497
2021,June,Swan Hill,Males,182
2021,June,Towong,Females,50
2021,June,Towong,Males,16
2021,June,Wangaratta,Females,460
2021,June,Wangaratta,Males,174
2021,June,Warrnambool,Females,474
2021,June,Warrnambool,Males,164
2021,June,Wellington,Females,982
2021,June,Wellington,Males,361
2021,June,West Wimmera,Females,33
2021,June,West Wimmera,Males,9
2021,June,Whitehorse,Females,1034
2021,June,Whitehorse,Males,424
2021,June,Whittlesea,Females,2479
2021,June,Whittlesea,Males,820
2021,June,Wodonga,Females,569
2021,June,Wodonga,Males,198
2021,June,Wyndham,Females,3087
2021,June,Wyndham,Males,884
2021,June,Yarra,Females,819
2021,June,Yarra,Males,337
2021,June,Yarra Ranges,Females,1293
2021,June,Yarra Ranges,Males,432
2021,June,Yarriambiack,Females,70
2021,June,Yarriambiack,Males,35
