Year,Year ending,Local Government Area,Age Group,AFM Counter
2024,June,Darebin,45 - 54 years,286
2024,June,Darebin,55+ years,383
2024,June,East Gippsland,00 - 17 years,189
2024,June,East Gippsland,18 - 24 years,246
2024,June,East Gippsland,25 - 34 years,343
2024,June,East Gippsland,35 - 44 years,498
2024,June,East Gippsland,45 - 54 years,316
2024,June,East Gippsland,55+ years,400
2024,June,Frankston,00 - 17 years,310
2024,June,Frankston,18 - 24 years,269
2024,June,Frankston,25 - 34 years,595
2024,June,Frankston,35 - 44 years,757
2024,June,Frankston,45 - 54 years,611
2024,June,Frankston,55+ years,476
2024,June,Gannawarra,00 - 17 years,15
2024,June,Gannawarra,18 - 24 years,25
2024,June,Gannawarra,25 - 34 years,62
2024,June,Gannawarra,35 - 44 years,32
2024,June,Gannawarra,45 - 54 years,49
2024,June,Gannawarra,55+ years,29
2024,June,Glen Eira,00 - 17 years,174
2024,June,Glen Eira,18 - 24 years,76
2024,June,Glen Eira,25 - 34 years,212
2024,June,Glen Eira,35 - 44 years,250
2024,June,Glen Eira,45 - 54 years,178
2024,June,Glen Eira,55+ years,189
2024,June,Glenelg,00 - 17 years,41
2024,June,Glenelg,18 - 24 years,63
2024,June,Glenelg,25 - 34 years,144
2024,June,Glenelg,35 - 44 years,99
2024,June,Glenelg,45 - 54 years,70
2024,June,Glenelg,55+ years,64
2024,June,Golden Plains,00 - 17 years,18
2024,June,Golden Plains,18 - 24 years,31
2024,June,Golden Plains,25 - 34 years,33
2024,June,Golden Plains,35 - 44 years,57
2024,June,Golden Plains,45 - 54 years,43
2024,June,Golden Plains,55+ years,41
2024,June,Greater Bendigo,00 - 17 years,297
2024,June,Greater Bendigo,18 - 24 years,266
2024,June,Greater Bendigo,25 - 34 years,638
2024,June,Greater Bendigo,35 - 44 years,629
2024,June,Greater Bendigo,45 - 54 years,414
2024,June,Greater Bendigo,55+ years,327
2024,June,Greater Dandenong,00 - 17 years,176
2024,June,Greater Dandenong,18 - 24 years,290
2024,June,Greater Dandenong,25 - 34 years,639
2024,June,Greater Dandenong,35 - 44 years,616
2024,June,Greater Dandenong,45 - 54 years,356
2024,June,Greater Dandenong,55+ years,545
2024,June,Greater Geelong,00 - 17 years,368
2024,June,Greater Geelong,18 - 24 years,606
2024,June,Greater Geelong,25 - 34 years,1124
2024,June,Greater Geelong,35 - 44 years,1296
2024,June,Greater Geelong,45 - 54 years,887
2024,June,Greater Geelong,55+ years,759
2024,June,Greater Shepparton,00 - 17 years,161
2024,June,Greater Shepparton,18 - 24 years,313
2024,June,Greater Shepparton,25 - 34 years,575
2024,June,Greater Shepparton,35 - 44 years,475
2024,June,Greater Shepparton,45 - 54 years,307
2024,June,Greater Shepparton,55+ years,211
2024,June,Hepburn,00 - 17 years,20
2024,June,Hepburn,18 - 24 years,9
2024,June,Hepburn,25 - 34 years,27
2024,June,Hepburn,35 - 44 years,41
2024,June,Hepburn,45 - 54 years,58
2024,June,Hepburn,55+ years,46
2024,June,Hindmarsh,00 - 17 years,15
2024,June,Hindmarsh,18 - 24 years,10
2024,June,Hindmarsh,25 - 34 years,22
2024,June,Hindmarsh,35 - 44 years,15
2024,June,Hindmarsh,45 - 54 years,13
2024,June,Hindmarsh,55+ years,23
2024,June,Hobsons Bay,00 - 17 years,58
2024,June,Hobsons Bay,18 - 24 years,95
2024,June,Hobsons Bay,25 - 34 years,225
2024,June,Hobsons Bay,35 - 44 years,270
2024,June,Hobsons Bay,45 - 54 years,213
2024,June,Hobsons Bay,55+ years,155
2024,June,Horsham,00 - 17 years,77
2024,June,Horsham,18 - 24 years,150
2024,June,Horsham,25 - 34 years,195
